Existing address,Normalized address,Latitude,Longitude
"Gaono g. 7, Vilniaus m.","Gaono gatvė 7, Vilniaus miestas, Lietuva",54.680473,25.2861453
"Žalioji g. 38A, Kauno m.","Žalioji gatvė 38A, Kauno miestas, Lietuva",54.9035102,23.9061726
"Vilniaus m. sav., Vilnius, J. Jasinskio g. 14","J. Jasinskio gatvė 14, Vilnius, Vilniaus m. sav., Lietuva",54.6882301,25.263181
"Šiaulių g. 41, Klaipėdos m.","Šiaulių gatvė 41, Klaipėdos miestas, Lietuva",55.7206189,21.1293204
"Birutės al. 47, Palanga","Palanga, Lietuva",55.9183386,21.0676478
"Draugystės g. 2, Druskininkų m., Druskininkų sav.","Draugystės gatvė 2, Druskininkų miestas, Lietuva",53.9953317,23.99666
"V. Kudirkos g. 47, Druskininkai","V. Kudirkos gatvė 47, Druskininkai, Lietuva",54.0195337,23.9789143
"V. Kudirkos g. 43, Druskininkų m., Druskininkų sav.","V. Kudirkos gatvė 43, Druskininkų miestas, Druskininkų sav., Lietuva",54.0183109,23.9759755
"Šiaulių m. sav., Šiauliai, S. Lukauskio g. 5A","Šiauliai, S. Lukauskio gatvė 5A, Šiaulių miesto savivaldybė, Lietuva",55.9320758,23.3142194
"S. Šimkaus g. 6, Klaipėda","S. Šimkaus gatvė 6, Klaipėda, Lietuva",55.7125034,21.1297599
"Vosyliukų k., Lentvario sen., Trakų r.","Vosyliukai, Trakų rajono savivaldybė, Lietuva",54.7118639,25.0282158
"Kaminkelio g. 15, Vilnius","Kaminkelio gatvė 15, Vilnius, Lietuva",54.6591734,25.2777473
"Algirdo g. 24, Vilniaus m.","Algirdo gatvė 24, Vilniaus miestas, Lietuva",54.676287,25.2714727
"Vilniaus g. 2/15, Vilniaus m.","Vilniaus gatvė 2, Vilniaus miestas, Lietuva",54.8393392,25.4701931
K.Dineikos g 1/3,"K.Dineikos g 1/3, Lietuva",54.0126739,23.9787926
"S. Daukanto g. 21, Kaunas","S. Daukanto gatvė 21, Kaunas, Lietuva",54.8979693,23.9136248
"Laisvės a. 16, Panevėžio m.","Laisvės a. 16, Panevėžio miestas, Lietuva",55.727101,24.3626272
"Laisvės a. 26, Panevėžys","Laisvės a. 26, Panevėžys, Lietuva",55.7293777,24.361581
"Subačiaus g. 2, Vilniaus m.","Subačiaus gatvė 2, Vilniaus miestas, Lietuva",54.6765683,25.2885665
"Vytauto g. 116, Palangos m.","Vytauto gatvė 116, Palangos miestas, Lietuva",55.9214547,21.0685893
"Vilniaus m. sav., Vilnius, Gėlių g. 5","Gėlių gatvė 5, Vilnius, Vilniaus m. sav., Lietuva",54.6673422,25.0850787
Šiaulių g. 28,"Šiaulių gatvė 28, Lietuva",55.3980328,22.5420268
"Beržų g. 3, Juknaičiai, Juknaičių sen., Šilutės raj.","Beržų gatvė 3, Juknaičiai, Šilutės raj., Lietuva",55.2879877,21.5815649
"S. Daukanto g. 15, Palangos m.","S. Daukanto gatvė 15, Palangos miestas, Lietuva",55.916511,21.0616283
"Palangos m. sav., Palanga, Kontininkų g. 9","Kontininkų gatvė 9, Palanga, Lietuva",55.9475428,21.0664709
"Telšių r. sav., Telšių sen., Telšiai, Kęstučio g. 21","Kęstučio gatvė 21, Telšiai, Telšių rajono savivaldybė, Lietuva",55.9851397,22.2480565
Marijampolės sav.,"Marijampolės sav., Lietuva",54.557812,23.3498124
"Sausio 13-osios g. 2, Vilnius","Sausio 13-osios gatvė 2, Vilnius, Lietuva",54.6932186,25.2220444
"Tauragės r. sav., Tauragės miesto sen., Tauragė, Vytauto g. 83","Vytauto gatvė 83, Tauragė, Tauragės rajono savivaldybė, Lietuva",55.2544459,22.285205
"Kalvarijų g. 265, Vilniaus m.","Kalvarijų gatvė 265, Vilniaus miestas, Lietuva",54.733248,25.2791232
"Liepojos g. 3, Klaipėda","Liepojos gatvė 3, Klaipėda, Lietuva",55.7450367,21.1303247
"Vaidoto g. 33, Šiauliai","Vaidoto gatvė 33, Šiauliai, Lietuva",55.9565293,23.3206368
"Klaipėdos m. sav., Klaipėda, Sportininkų g. 46","Sportininkų gatvė 46, Klaipėda, Klaipėdos m. sav., Lietuva",55.7246226,21.1118955
"Vilniaus al. 7, Druskininkų m., Druskininkų sav.","Vilniaus al. 7, Druskininkų miestas, Druskininkų sav., Lietuva",54.6893865,25.2800243
"Panebėžio 8A, Vilnius","Panebėžio 8A, Vilnius, Lietuva",54.6893865,25.2800243
"Vilniaus m. sav., Vilnius, Sodų g. 14","Sodų gatvė 14, Vilnius, Vilniaus m. sav., Lietuva",54.6716171,25.0803664
"Švitrigailos g. 11D, Vilnius","Švitrigailos gatvė 11D, Vilnius, Lietuva",54.6754233,25.2682066
"S. Daukanto g. 35, Palangos m.","S. Daukanto gatvė 35, Palangos miestas, Lietuva",55.9121319,21.058719
"Miško g. 11, Kaunas","Miško gatvė 11, Kaunas, Lietuva",54.893646,23.9221505
"Pamario g. 3, Neringa","Pamario gatvė 3, Neringa, Lietuva",55.3062984,21.0062504
"Kalno g. 7a, Neringos m., Neringos sav.","Kalno gatvė 7a, Neringos miestas, Neringos sav., Lietuva",55.5425605,21.1199682
"Naujoji g. 8-C, Alytaus m.","Naujoji gatvė 8-C, Alytaus miestas, Lietuva",54.3967622,24.0306287
"Vilniaus al. 2A, Druskininkų m., Druskininkų sav.","Vilniaus al. 2A, Druskininkų miestas, Druskininkų sav., Lietuva",54.6893865,25.2800243
"Vytauto g. 40, Palangos m.","Vytauto gatvė 40, Palangos miestas, Lietuva",55.9105559,21.0624703
"Bangų g. 19, Klaipėda","Bangų gatvė 19, Klaipėda, Lietuva",55.7097655,21.1447652
"Radviliškio r. sav., Pakalniškių apylinkės sen., Raudondvaris","Raudondvaris, Radviliškio rajono savivaldybė, Lietuva",55.7496577,23.800993
"Fabijoniškių g. 5-6, Vilniaus m.","Fabijoniškių gatvė 5, Vilniaus miestas, Lietuva",54.7202643,25.248806
"Gurelių k., Šalčininkų r.","Gurelių kaimas, Lietuva",54.6474419,25.0590237
"Verslo g. 17, Kumpių k., Kauno r.","Verslo gatvė 17, Kumpiai, Kauno rajono savivaldybė, Lietuva",54.9580841,23.8696641
"Kranto g. 24, Panevėžio m.","Kranto gatvė 24, Panevėžio miestas, Lietuva",55.7333218,24.3606831
"Jaunystės g. 21, Visagino m., Visagino sav.","Jaunystės gatvė 21, Visagino miestas, Lietuva",55.5885447,26.4423295
"Minijos g. 119, Klaipėdos m.","Minijos gatvė 119, Klaipėdos miestas, Lietuva",55.6846191,21.1489046
"Jūros g. 23, Klaipėda","Jūros gatvė 23, Klaipėda, Lietuva",55.712332,21.1255676
"Aukštaičių g. 55, Kauno m.","Aukštaičių gatvė 55, Kauno miestas, Lietuva",54.9038789,23.9344894
"Dariaus ir Girėno g. 50, Skuodo m., Skuodo r.","Dariaus ir Girėno gatvė 50, Skuodo miestas, Lietuva",56.2694473,21.5423997
"Skroblų g. 3, Kauno m.","Skroblų gatvė 3, Kauno miestas, Lietuva",54.9042484,23.9470806
"Minijos g. 2, Plungės m., Plungės r.","Minijos gatvė 2, Plungės miestas, Lietuva",55.9116487,21.849204
"Ligoninės g. 7, Vilnius","Ligoninės gatvė 7, Vilnius, Lietuva",54.676406,25.2830424
"Žvejų g. 22, Klaipėdos m.","Žvejų gatvė 22, Klaipėdos miestas, Lietuva",55.7067604,21.1271485
"S. Daukanto g. 21, Palanga","S. Daukanto gatvė 21, Palanga, Lietuva",55.9154501,21.0609366
"Vytauto g. 96, Palanga","Vytauto gatvė 96, Palanga, Lietuva",55.9187176,21.0669299
"G. D. Kuverto g. 15, Neringa, Neringos sav.","G. D. Kuverto gatvė 15, Neringa, Lietuva",55.3081549,20.9991161
"Smėlynės g. 112, Panevėžio m.","Smėlynės gatvė 112, Panevėžio miestas, Lietuva",55.7443601,24.3708575
"Šv. Jokūbo g., Druskininkų m., Druskininkų sav.","Šv. Jokūbo gatvė, Druskininkų miestas, Lietuva",54.018882,23.9723123
"Kranto g. 3A, Tauragės m., Tauragės r.","Kranto gatvė 3A, Tauragės miestas, Tauragės rajono savivaldybė, Lietuva",55.2512556,22.2813866
"Gedimino pr. 23, Vilniaus m.","Gedimino prospektas 23, Vilniaus miestas, Lietuva",54.6877943,25.2758364
"Gilušio g. 6, Trakų m., Trakų r.","Gilušio gatvė 6, Trakų miestas, Trakų rajono savivaldybė, Lietuva",54.6285186,24.9305178
"Bistryčios g. 13, Vilnius","Bistryčios gatvė 13, Vilnius, Lietuva",54.7062106,25.3206651
"Vytauto g. 17, Šilutės m., Šilutės r.","Vytauto gatvė 17, Šilutės miestas, Lietuva",55.3572852,21.7039608
"Gedimino pr. 52/1a, Vilnius","Gedimino prospektas 52, Vilnius, Lietuva",54.6894425,25.2660087
"Saltoniškių g. 56, Vilnius","Saltoniškių gatvė 56, Vilnius, Lietuva",54.696951,25.25671
"Vytauto g. 53, Palangos m.","Vytauto gatvė 53, Palangos miestas, Lietuva",55.9121489,21.0632529
"Dubijos g. 20, Šiauliai","Dubijos gatvė 20, Šiauliai, Lietuva",55.9280315,23.297225
"J. Janonio g. 11, Klaipėda","J. Janonio gatvė 11, Klaipėda, Lietuva",55.7189661,21.1238698
"Kauno m. sav., Kaunas, Savanorių pr. 66","Savanorių prospektas 66, Kaunas, Kauno miesto savivaldybė, Lietuva",54.9020051,23.910447
"Ruklos k., Ruklos sen., Jonavos r.","Rukla, Jonavos rajono savivaldybė, Lietuva",55.0514789,24.3754625
"Aušros vartų g. 12, Vilnius","Aušros vartų gatvė 12, Vilnius, Lietuva",54.67491,25.2892789
"L. Stuokos-Gucevičiaus g. 3, Vilnius","L. Stuokos-Gucevičiaus gatvė 3, Vilnius, Lietuva",54.6849867,25.2852187
"Veteranų g. 9, Visagino m., Visagino sav.","Veteranų gatvė 9, Visagino miestas, Lietuva",55.5981335,26.4350517
"Ukmergės g. 363, Vilniaus m.","Ukmergės gatvė 363, Vilniaus miestas, Lietuva",54.7386332,25.2286319
"Plinkšių k., Mažeikių r.","Plinkšys, Mažeikių rajono savivaldybė, Lietuva",56.1166667,22.1666667
"M. K. Čiurlionio g. 128, Druskininkų m., Druskininkų sav.","M. K. Čiurlionio gatvė 128, Druskininkų miestas, Druskininkų sav., Lietuva",54.0047713,24.0118797
"G. D. Kuverto g. 7, Neringa, Neringos sav.","G. D. Kuverto gatvė 7, Neringa, Lietuva",55.3080966,21.0052591
"L. Stuokos-Gucevičiaus g. 3, Vilniaus m.","L. Stuokos-Gucevičiaus gatvė 3, Vilniaus miestas, Lietuva",54.6849867,25.2852187
"Verknės g. 8, Birštono m., Birštono sav.","Verknės gatvė 8, Birštono miestas, Lietuva",54.6034719,24.0597273
"Vytauto pr. 28, LT-44328 Kaunas","Vytauto prospektas 28, LT-44328 Kaunas, Lietuva",54.8895716,23.9266291
"Vingrių g. 25, Vilnius","Vingrių gatvė 25, Vilnius, Lietuva",54.6773447,25.2795414
"Šeimyniškių g. 1, Vilniaus m.","Šeimyniškių gatvė 1, Vilniaus miestas, Lietuva",54.6946412,25.2821337
"Pylimo g. 63, Vilniaus m.","Pylimo gatvė 63, Vilniaus miestas, Lietuva",54.6725367,25.2866576
"Lietuvininkų g. 70, Šilutės m., Šilutės r.","Lietuvininkų gatvė 70, Šilutės miestas, Šilutės rajono savivaldybė, Lietuva",55.342327,21.4697679
"T. Ševčenkos g. 16, Vilnius","T. Ševčenkos gatvė 16, Vilnius, Lietuva",54.6772898,25.2658015
"Virbališkės takas 2, Palangos m.","Virbališkės takas 2, Palangos miestas, Lietuva",55.918238,21.0727495
"Naugarduko g. 76, Vilniaus m.","Naugarduko gatvė 76, Vilniaus miestas, Lietuva",54.6708748,25.2604591
"Čižiškių k., Vilkaviškio r.","Čižiškiai, Vilkaviškio r., Lietuva",54.4117982,22.7620251
"Vilniaus al. 3, Druskininkai, Druskininkų sav.","Vilniaus al. 3, Druskininkai, Druskininkų sav., Lietuva",54.6893865,25.2800243
"Panevėžio g. 8a, Vilnius","Panevėžio gatvė 8a, Vilnius, Lietuva",54.6657889,25.2832282
"Vilniaus m. sav., Vilnius, Dariaus ir Girėno g. 61","Dariaus ir Girėno gatvė 61, Vilnius, Vilniaus m. sav., Lietuva",54.6454505,25.2726579
"Palangos m. sav., Palanga, Vanagupės g. 15","Vanagupės gatvė 15, Palanga, Lietuva",55.9410742,21.0724684
"Gedimino pr. 12, Vilniaus m.","Gedimino prospektas 12, Vilniaus miestas, Lietuva",54.6869361,25.2807574
"S. Nėries g. 14, Palangos m.","S. Nėries gatvė 14, Palangos miestas, Lietuva",55.9197146,21.0608284
"Raitininkų g. 4, Vilniaus m.","Raitininkų gatvė 4, Vilniaus miestas, Lietuva",54.6945878,25.2946363
"Vytauto g. 43, Druskininkų m., Druskininkų sav.","Vytauto gatvė 43, Druskininkų miestas, Druskininkų sav., Lietuva",54.014999,23.9917
"Radviliškio r. sav., Radviliškio miesto sen., Radviliškis, Daujočių g. 10B","Daujočių gatvė 10B, Radviliškis, Radviliškio rajono savivaldybė, Lietuva",55.7951235,23.5543656
"Telšių r. sav., Varnių sen., Varniai, Medininkų a. 1/1","Medininkų a. 1/1, Varniai, Telšių rajono savivaldybė, Lietuva",55.7419216,22.3711601
"Vilniaus m. sav., Vilnius, Žirmūnų g. 149","Žirmūnų gatvė 149, Vilnius, Vilniaus m. sav., Lietuva",54.7226621,25.2985079
"Vytenio g. 9/25, Vilniaus m.","Vytenio gatvė 9, Vilniaus miestas, Lietuva",54.6789705,25.26358
"Pilies g. 10, Vilniaus m.","Pilies gatvė 10, Vilniaus miestas, Lietuva",54.683822,25.2894471
"Šv. Stepono g. 11, Vilnius","Šv. Stepono gatvė 11, Vilnius, Lietuva",54.6737159,25.2807887
"Gedimino g. 26, Trakų m., Trakų r.","Gedimino gatvė 26, Trakų miestas, Trakų rajono savivaldybė, Lietuva",54.6276327,24.9356021
"Pulko g. 14-1, Alytaus m.","Pulko gatvė 14, Alytaus miestas, Lietuva",54.3959444,24.0460449
"Dabintos g. 3, Druskininkai","Dabintos gatvė 3, Druskininkai, Lietuva",54.021759,23.966555
"Sudervės g. 10, Avižienių k., Vilniaus r.","Sudervės gatvė 10, Avižieniai, Vilniaus rajono savivaldybė, Lietuva",54.7616325,25.1773853
"Vilniaus m. sav., Vilnius, Bernardinų g. 8/8","Bernardinų gatvė 8, Vilnius, Vilniaus m. sav., Lietuva",54.6835671,25.2914924
"Vilnius, Bokšto g. 19/Šv.Kazimiero g. 12","Bokšto gatvė 19/Šv.Kazimiero gatvė 12, Vilnius, Lietuva",54.677913,25.2914493
"Greitkelis A2, Vilnius - Ryga 19tas m, Ežeraičių k., Vilniaus r.","Greitkelis A2, Ežeraičių, Vilniaus rajono savivaldybė, Lietuva",54.7961614,25.1674536
"Didžioji g. 36, Kėdainių m., Kėdainių r.","Didžioji gatvė 36, Kėdainių miestas, Kėdainių rajono savivaldybė, Lietuva",55.2858427,23.9811764
"Savanorių pr. 404, Kauno m.","Savanorių prospektas 404, Kauno miestas, Lietuva",54.9276381,23.9709778
"L. Stuokos-Gucevičiaus g. 1, Vilniaus m.","L. Stuokos-Gucevičiaus gatvė 1, Vilniaus miestas, Lietuva",54.685185,25.2855815
"Vytauto g. 76, Palangos m.","Vytauto gatvė 76, Palangos miestas, Lietuva",55.9150632,21.0649101
"Kirneilės k., Molėtų r.","Kirneilė, Molėtų r., Lietuva",55.2098483,25.4723211
"Pulko g. 14-1, Alytus","Pulko gatvė 14, Alytus, Lietuva",54.3959444,24.0460449
"Draugystės pr. 25, Šiauliai","Draugystės prospektas 25, Šiauliai, Lietuva",55.9281397,23.3211883
"Sodo g. 1a, Marijampolė","Sodo gatvė 1a, Marijampolė, Lietuva",54.6767438,23.4219765
"Vilniaus m. sav., Vilnius, Konstitucijos pr. 20","Konstitucijos prospektas 20, Vilnius, Vilniaus m. sav., Lietuva",54.6959944,25.275671
"Vilniaus m. sav., Vilnius, Žirnių g. 10","Žirnių gatvė 10, Vilnius, Vilniaus m. sav., Lietuva",54.6550249,25.2981254
"Maironio g. 2, Druskininkų m., Druskininkų sav.","Maironio gatvė 2, Druskininkų miestas, Lietuva",54.0232187,23.9660475
"K. Donelaičio g. 27, Kauno m.","K. Donelaičio gatvė 27, Kauno miestas, Lietuva",54.8987939,23.9197192
"Bažnyčios g. 4a, Vievio m., Elektrėnų sav.","Bažnyčios gatvė 4a, Vievis, Elektrėnų sav., Lietuva",54.7705562,24.8171486
"Draugystės g. 18, Mažeikiai","Draugystės gatvė 18, Mažeikiai, Lietuva",56.3050097,22.3293313
"Tilžės g. 63A, Šiaulių m.","Tilžės gatvė 63A, Šiaulių miestas, Lietuva",55.9171765,23.2837387
"J. Basanavičiaus a. 8, Marijampolės m., Marijampolės sav.","J. Basanavičiaus a. 8, Marijampolės miestas, Marijampolės sav., Lietuva",54.5573047,23.3484543
"T. Kosciuškos g. 3, Druskininkų m., Druskininkų sav.","T. Kosciuškos gatvė 3, Druskininkų miestas, Druskininkų sav., Lietuva",54.0219512,23.9707873
"Latvių g. 38, Vilniaus m.","Latvių gatvė 38, Vilniaus miestas, Lietuva",54.6948316,25.2473892
"Blindžių g. 17, Vilnius","Blindžių gatvė 17, Vilnius, Lietuva",54.6969929,25.2397069
"J. Basanavičiaus a. 5, Vilkaviškio m., Vilkaviškio r.","J. Basanavičiaus a. 5, Vilkaviškio miestas, Vilkaviškio r., Lietuva",54.650196,23.0338577
"Kauno m. sav., Kaunas, M. Valančiaus g. 19","M. Valančiaus gatvė 19, Kaunas, Kauno miesto savivaldybė, Lietuva",54.898563,23.8883749
"T. Masiulio g. 18E, Kauno m.","T. Masiulio gatvė 18E, Kauno miestas, Lietuva",54.8832783,24.0079674
"Vilnius, Didžioji g. 35","Didžioji gatvė 35, Vilnius, Lietuva",54.6772841,25.2877592
"Paplatelės k., Žemaičių Kalvarijos sen., Plungės r.","Paplatelė, Plungės r., Lietuva",56.0460852,21.8906039
"Birutės al. 26, Palangos m.","Palangos miestas, Lietuva",55.9183386,21.0676478
"Kurorto g. 6, Druskininkų m., Druskininkų sav.","Kurorto gatvė 6, Druskininkų miestas, Lietuva",54.0177526,23.9849977
"Ievos kalno g. 28, Neringa","Ievos kalno gatvė 28, Neringa, Lietuva",55.5378449,21.1169592
"Palangos m. sav., Palanga, S. Dariaus ir S. Girėno g. 25","S. Dariaus ir S. Girėno gatvė 25, Palanga, Palangos miesto savivaldybė, Lietuva",55.9108901,21.0615661
"Palangos m. sav., Palanga, Birutės al. 60","Palanga, Lietuva",55.9183386,21.0676478
"Ganyklų g. 30, Palangos m.","Ganyklų gatvė 30, Palangos miestas, Lietuva",55.9213002,21.0733943
"Žalioji g., Garliavos m., Kauno r.","Žalioji gatvė, Garliavos miestas, Kauno rajono savivaldybė, Lietuva",54.8329235,23.8687212
"Liudiškių g. 18, Anykščių m., Anykščių r.","Liudiškių gatvė 18, Anykščių miestas, Anykščių rajono savivaldybė, Lietuva",55.520581,25.1157457
"Vytauto pr. 25, Kauno m.","Vytauto prospektas 25, Kauno miestas, Lietuva",54.8894091,23.9268794
"Palangos m. sav., Palanga, Vytauto g. 155","Vytauto gatvė 155, Palanga, Palangos miesto savivaldybė, Lietuva",55.9208001,21.0680158
"S. Daukanto g. 10A, Palangos m.","S. Daukanto gatvė 10A, Palangos miestas, Lietuva",55.9156273,21.06105
"Ventė, Šilutės r.","Ventė, Šilutės rajono savivaldybė, Lietuva",55.3500117,21.1992241
"Palangos m. sav., Palanga, M. Valančiaus g. 1","M. Valančiaus gatvė 1, Palanga, Lietuva",55.917617,21.0648831
"Šiaulių m. sav., Šiauliai, Gytarių g. 25","Šiauliai, Gytarių gatvė 25, Šiaulių miesto savivaldybė, Lietuva",55.9320758,23.3142194
"Smėlynės g. 3, Panevėžio m.","Smėlynės gatvė 3, Panevėžio miestas, Lietuva",55.7312332,24.3675248
"Vilniaus m. sav., Vilnius, Šv. Ignoto g. 12-1","Šv. Ignoto gatvė 12, Vilnius, Vilniaus m. sav., Lietuva",54.6814657,25.2846421
"K. Donelaičio 70, Šiauliai","K. Donelaičio 70, Šiauliai, Lietuva",55.91792,23.3125687
"H. Manto g. 23, Klaipėdos m.","H. Manto gatvė 23, Klaipėdos miestas, Lietuva",55.7168441,21.1283897
"Palangos m. sav., Palanga, Gėlių a. 1A","Gėlių a. 1A, Palanga, Lietuva",55.9244916,21.0657412
"J. Basanavičiaus g. 29, Palangos m.","J. Basanavičiaus gatvė 29, Palangos miestas, Lietuva",55.9184962,21.0583097
"Klaipėdos m. sav., Klaipėda, Galinio Pylimo g. 16","Galinio Pylimo gatvė 16, Klaipėda, Klaipėdos m. sav., Lietuva",55.7048393,21.1380252
"Vilniaus m. sav., Vilnius, Gedimino pr. 16","Gedimino prospektas 16, Vilnius, Vilniaus m. sav., Lietuva",54.6870897,25.279882
"Rūdės g. 9, Šiauliai","Rūdės gatvė 9, Šiauliai, Lietuva",55.9263075,23.3159265
"Ąžuolyno g. 7, Vilniaus m.","Ąžuolyno gatvė 7, Vilniaus miestas, Lietuva",54.9802635,25.2363514
"Bangų g. 4, Klaipėdos m.","Bangų gatvė 4, Klaipėdos miestas, Lietuva",55.7072712,21.1409113
"Klaipėdos m. sav., Klaipėda, Debreceno g. 27","Debreceno gatvė 27, Klaipėda, Klaipėdos m. sav., Lietuva",55.6817801,21.1792402
"Algirdo g. 34, Birštono m., Birštono sav.","Algirdo gatvė 34, Birštono miestas, Lietuva",54.6105285,24.0294936
"Perkūno al. 61, Kaunas","Perkūno al. 61, Kaunas, Lietuva",54.8968721,23.8924264
"Daržų g. 9, Klaipėdos m.","Daržų gatvė 9, Klaipėdos miestas, Lietuva",55.706516,21.1355035
"Kuzmos g. 8, Kaunas","Kuzmos gatvė 8, Kaunas, Lietuva",54.8959753,23.8883024
"Sodo g. 5, Gargždų m., Klaipėdos r.","Sodo gatvė 5, Gargždų miestas, Klaipėdos r., Lietuva",55.7124386,21.4033004
"Taikos pr. 80 , Klaipėdos m.","Taikos prospektas 80, Klaipėdos miestas, Lietuva",55.6742992,21.1671424
"Vytauto g. 93A, Palangos m.","Vytauto gatvė 93A, Palangos miestas, Lietuva",55.9242705,21.0703095
"Šilutės r. sav., Šilutės sen., Šilutė, Lietuvininkų g. 70","Šilutė, Lietuvininkų gatvė 70, Šilutės rajono savivaldybė, Lietuva",55.342327,21.4697679
"Smilgių k., Kupiškio r.","Smilgys, Lietuva",54.3966086,23.9984023
"Vilniaus m. sav., Vilnius, Geležinio Vilko g. 3","Geležinio Vilko gatvė 3, Vilnius, Vilniaus m. sav., Lietuva",54.6707712,25.238043
"Tilto g. 8, Vilniaus m.","Tilto gatvė 8, Vilniaus miestas, Lietuva",54.6874273,25.2842278
"Burokaraisčio k., Varėnos r.","Burokaraisčio, Varėnos r., Lietuva",54.2085767,24.3402795
"Vytauto g. 74, Palangos m.","Vytauto gatvė 74, Palangos miestas, Lietuva",55.9148516,21.0647949
"Smilčių g. 31, Palanga","Smilčių gatvė 31, Palanga, Lietuva",55.9221629,21.0624742
"Rūdės g. 9, Šiaulių m.","Rūdės gatvė 9, Šiaulių miestas, Lietuva",55.9263075,23.3159265
"Tinklų g. 51, Panevėžio m.","Tinklų gatvė 51, Panevėžio miestas, Lietuva",55.7449906,24.4237981
"Vilkatupio g. 1, Vaivadų k., Panevėžio r.","Vilkatupio gatvė 1, Vaivadai, Panevėžio rajono savivaldybė, Lietuva",55.7595951,24.403435
"Laisvės g. 7, Mažeikių m., Mažeikių r.","Laisvės gatvė 7, Mažeikių miestas, Mažeikių rajono savivaldybė, Lietuva",56.31531,22.34102
"Druskininkų sav., Druskininkai, Maironio g. 45","Maironio gatvė 45, Druskininkai, Lietuva",54.0235767,23.9693861
"Rūdninkų g. 15/46, Vilniaus m.","Rūdninkų gatvė 15, Vilniaus miestas, Lietuva",54.6756257,25.2833706
"Žibininkai, Kretingos r.","Žibininkai, Kretingos r., Lietuva",55.9596245,21.1513928
"Kurorto g. 4, Druskininkai","Kurorto gatvė 4, Druskininkai, Lietuva",54.0177295,23.9838921
"Kalvarijų g. 247, Vilniaus m.","Kalvarijų gatvė 247, Vilniaus miestas, Lietuva",54.7315412,25.2795879
"V. Kudirkos g. 93, Joniškio m., Joniškio r.","V. Kudirkos gatvė 93, Joniškis, Lietuva",56.2299787,23.6089941
